"player","mp","team","date"
"Naz Hillmon",25,"ATL",2026-06-06
"Angel Reese",25,"ATL",2026-06-06
"Allisha Gray",25,"ATL",2026-06-06
"Jordin Canada",25,"ATL",2026-06-06
"Rhyne Howard",21,"ATL",2026-06-06
"Sika Kone",12,"ATL",2026-06-06
"Madina Okot",18,"ATL",2026-06-06
"Te-Hina Paopao",14,"ATL",2026-06-06
"Aaliyah Nye",5,"ATL",2026-06-06
"Indya Nivar",8,"ATL",2026-06-06
"Isobel Borlase",23,"ATL",2026-06-06
"Monique Billings",35,"IND",2026-06-06
"Aliyah Boston",29,"IND",2026-06-06
"Kelsey Mitchell",32,"IND",2026-06-06
"Lexie Hull",19,"IND",2026-06-06
"Caitlin Clark",34,"IND",2026-06-06
"Myisha Hines",13,"IND",2026-06-06
"Makayla Timpson",3,"IND",2026-06-06
"Sophie Cunningham",17,"IND",2026-06-06
"Raven Johnson",17,"IND",2026-06-06
"Grace Van",0,"IND",2026-06-06
"Damiris Dantas",0,"IND",2026-06-06
"Tyasha Harris",0,"IND",2026-06-06
"Justine Pissott",0,"IND",2026-06-06
"Bree Hall",0,"IND",2026-06-06
"Breanna Stewart",33,"NY",2026-06-06
"Leonie Fiebich",30,"NY",2026-06-06
"Jonquel Jones",28,"NY",2026-06-06
"Marine Johannes",25,"NY",2026-06-06
"Pauline Astier",24,"NY",2026-06-06
"Satou Sabally",22,"NY",2026-06-06
"Han Xu",8,"NY",2026-06-06
"Rebekah Gardner",13,"NY",2026-06-06
"Betnijah Laney",12,"NY",2026-06-06
"Marine Fauthoux",5,"NY",2026-06-06
"Raquel Carrera",0,"NY",2026-06-06
"Rebecca Allen",0,"NY",2026-06-06
"Azura Stevens",24,"CHI",2026-06-07
"Kamilla Cardoso",23,"CHI",2026-06-07
"Skylar Diggins",27,"CHI",2026-06-07
"Rachel Banham",22,"CHI",2026-06-07
"Jacy Sheldon",21,"CHI",2026-06-07
"Elizabeth Williams",22,"CHI",2026-06-07
"Natasha Cloud",27,"CHI",2026-06-07
"Saylor Poffenbarger",8,"CHI",2026-06-07
"Sydney Taylor",8,"CHI",2026-06-07
"Gabriela Jaquez",19,"CHI",2026-06-07
"Nyara Sabally",25,"TOR",2026-06-07
"Laura Juskaite",22,"TOR",2026-06-07
"Brittney Sykes",30,"TOR",2026-06-07
"Marina Mabrey",30,"TOR",2026-06-07
"Julie Allemand",26,"TOR",2026-06-07
"Isabelle Harrison",17,"TOR",2026-06-07
"Maria Conde",24,"TOR",2026-06-07
"Teonni Key",12,"TOR",2026-06-07
"Kia Nurse",9,"TOR",2026-06-07
"Tima Pouye",3,"TOR",2026-06-07
"Bridget Carleton",26,"POR",2026-06-07
"Emily Engstler",25,"POR",2026-06-07
"Megan Gustafson",25,"POR",2026-06-07
"Sarah Ashlee",28,"POR",2026-06-07
"Carla Leite",25,"POR",2026-06-07
"Frieda Buhner",15,"POR",2026-06-07
"Nyadiew Puoch",14,"POR",2026-06-07
"Luisa Geiselsoder",15,"POR",2026-06-07
"Karlie Samuelson",11,"POR",2026-06-07
"Teja Oblak",17,"POR",2026-06-07
"Holly Winterburn",0,"POR",2026-06-07
"Jordan Harrison",0,"POR",2026-06-07
"Nneka Ogwumike",32,"LA",2026-06-07
"Dearica Hamby",30,"LA",2026-06-07
"Erica Wheeler",27,"LA",2026-06-07
"Kelsey Plum",35,"LA",2026-06-07
"Ariel Atkins",18,"LA",2026-06-07
"Cameron Brink",10,"LA",2026-06-07
"Rae Burrell",26,"LA",2026-06-07
"Kate Martin",8,"LA",2026-06-07
"Chance Gray",15,"LA",2026-06-07
"Emma Cannon",0,"LA",2026-06-07
"Sania Feagin",0,"LA",2026-06-07
"Jihyun Park",0,"LA",2026-06-07
"Laura Ziegler",0,"LA",2026-06-07
"Ta'Niya Latson",0,"LA",2026-06-07
"Breanna Stewart",34,"NY",2026-06-08
"Leonie Fiebich",28,"NY",2026-06-08
"Han Xu",22,"NY",2026-06-08
"Marine Johannes",24,"NY",2026-06-08
"Pauline Astier",26,"NY",2026-06-08
"Satou Sabally",19,"NY",2026-06-08
"Raquel Carrera",13,"NY",2026-06-08
"Rebekah Gardner",8,"NY",2026-06-08
"Betnijah Laney",18,"NY",2026-06-08
"Marine Fauthoux",6,"NY",2026-06-08
"Anneli Maley",0,"NY",2026-06-08
"Rebecca Allen",0,"NY",2026-06-08
"Aaliyah Edwards",28,"CON",2026-06-08
"Diamond Miller",23,"CON",2026-06-08
"Olivia Nelson",26,"CON",2026-06-08
"Saniya Rivers",29,"CON",2026-06-08
"Leila Lacan",26,"CON",2026-06-08
"Raegan Beers",14,"CON",2026-06-08
"Nell Angloma",12,"CON",2026-06-08
"Kennedy Burke",15,"CON",2026-06-08
"Charlisse Leger",14,"CON",2026-06-08
"Gianna Kneepkens",13,"CON",2026-06-08
"Hailey Van",0,"CON",2026-06-08
"Ashlon Jackson",0,"CON",2026-06-08
"Monique Billings",19,"IND",2026-06-08
